Nome;Partido;UF;Tipo_de_Despesa;Valor
RUY CARNEIRO;PSDB;PB;PASSAGENS AÉREAS;R$  7471,9
RUY CARNEIRO;PSDB;PB;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2726,2
RUY CARNEIRO;PSDB;PB;TELEFONIA;R$  1788,02
RUY CARNEIRO;PSDB;PB;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1764,65
RUY CARNEIRO;PSDB;PB;SERVIÇOS POSTAIS;R$  1041,83
RUY CARNEIRO;PSDB;PB;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  992,5
RUY CARNEIRO;PSDB;PB;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  2,2
RUY CARNEIRO;PSDB;PB;Total;R$  350723,97
VANDER LOUBET;PT;MS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  172746
VANDER LOUBET;PT;MS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  58765
VANDER LOUBET;PT;MS;EMISSÃO BILHETE AÉREO;R$  44970,15
VANDER LOUBET;PT;MS;COMBUSTÍVEIS E LUBRIFICANTES.;R$  30270,08
VANDER LOUBET;PT;MS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  22494,48
VANDER LOUBET;PT;MS;PASSAGENS AÉREAS;R$  9370,3
VANDER LOUBET;PT;MS;SERVIÇOS POSTAIS;R$  3765,21
VANDER LOUBET;PT;MS;TELEFONIA;R$  3320,99
VANDER LOUBET;PT;MS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1535
VANDER LOUBET;PT;MS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  711,5
VANDER LOUBET;PT;MS;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  125,66
VANDER LOUBET;PT;MS;Total;R$  348074,37
JHONATAN DE JESUS;REPUBLICANOS;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  122600
JHONATAN DE JESUS;REPUBLICANOS;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  84120
JHONATAN DE JESUS;REPUBLICANOS;RR;EMISSÃO BILHETE AÉREO;R$  48666,42
JHONATAN DE JESUS;REPUBLICANOS;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  48000
JHONATAN DE JESUS;REPUBLICANOS;RR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  30400
JHONATAN DE JESUS;REPUBLICANOS;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  7167,6
JHONATAN DE JESUS;REPUBLICANOS;RR;TELEFONIA;R$  1950,96
JHONATAN DE JESUS;REPUBLICANOS;RR;SERVIÇOS POSTAIS;R$  1950,54
JHONATAN DE JESUS;REPUBLICANOS;RR;PASSAGENS AÉREAS;R$  1267,57
JHONATAN DE JESUS;REPUBLICANOS;RR;Total;R$  346123,09
VICENTINHO JÚNIOR;PL;TO;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  267724,18
VICENTINHO JÚNIOR;PL;TO;EMISSÃO BILHETE AÉREO;R$  32858,55
VICENTINHO JÚNIOR;PL;TO;COMBUSTÍVEIS E LUBRIFICANTES.;R$  29454,54
VICENTINHO JÚNIOR;PL;TO;TELEFONIA;R$  7783,51
VICENTINHO JÚNIOR;PL;TO;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  4858
VICENTINHO JÚNIOR;PL;TO;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  2050
VICENTINHO JÚNIOR;PL;TO;SERVIÇOS POSTAIS;R$  1037,37
VICENTINHO JÚNIOR;PL;TO;Total;R$  345766,15
VERMELHO;PSD;PR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  141550
VERMELHO;PSD;PR;EMISSÃO BILHETE AÉREO;R$  45431,03
VERMELHO;PSD;PR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  44100
VERMELHO;PSD;PR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  37962,06
VERMELHO;PSD;PR;COMBUSTÍVEIS E LUBRIFICANTES.;R$  31542,12
VERMELHO;PSD;PR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  25000
VERMELHO;PSD;PR;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  8068,26
VERMELHO;PSD;PR;PASSAGENS AÉREAS;R$  4873,97
VERMELHO;PSD;PR;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3087,32
VERMELHO;PSD;PR;TELEFONIA;R$  1910,7
VERMELHO;PSD;PR;SERVIÇOS POSTAIS;R$  1624,84
VERMELHO;PSD;PR;Total;R$  345150,3
BOSCO SARAIVA;SOLIDARIEDADE;AM;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  77800
BOSCO SARAIVA;SOLIDARIEDADE;AM;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  60895,66
BOSCO SARAIVA;SOLIDARIEDADE;AM;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  55743,23
BOSCO SARAIVA;SOLIDARIEDADE;AM;EMISSÃO BILHETE AÉREO;R$  51697,35
BOSCO SARAIVA;SOLIDARIEDADE;AM;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  45047
BOSCO SARAIVA;SOLIDARIEDADE;AM;COMBUSTÍVEIS E LUBRIFICANTES.;R$  21882,86
BOSCO SARAIVA;SOLIDARIEDADE;AM;LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;R$  20400
BOSCO SARAIVA;SOLIDARIEDADE;AM;TELEFONIA;R$  7228,27
BOSCO SARAIVA;SOLIDARIEDADE;AM;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1456,86
BOSCO SARAIVA;SOLIDARIEDADE;AM;SERVIÇOS POSTAIS;R$  1070,89
BOSCO SARAIVA;SOLIDARIEDADE;AM;PASSAGENS AÉREAS;R$  490
BOSCO SARAIVA;SOLIDARIEDADE;AM;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  342,03
BOSCO SARAIVA;SOLIDARIEDADE;AM;Total;R$  344054,15
ALINE GURGEL;REPUBLICANOS;AP;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  155650
ALINE GURGEL;REPUBLICANOS;AP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  99700
ALINE GURGEL;REPUBLICANOS;AP;EMISSÃO BILHETE AÉREO;R$  59941,55
ALINE GURGEL;REPUBLICANOS;AP;LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES;R$  10000
ALINE GURGEL;REPUBLICANOS;AP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  7511,4
ALINE GURGEL;REPUBLICANOS;AP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  7010,85
ALINE GURGEL;REPUBLICANOS;AP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  483,6
ALINE GURGEL;REPUBLICANOS;AP;TELEFONIA;R$  439,37
ALINE GURGEL;REPUBLICANOS;AP;SERVIÇOS POSTAIS;R$  62,3
ALINE GURGEL;REPUBLICANOS;AP;Total;R$  340799,07
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  114773,41
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;EMISSÃO BILHETE AÉREO;R$  65349,31
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  53317,39
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  49600
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  27615,98
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;TELEFONIA;R$  10868,8
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;SERVIÇOS POSTAIS;R$  10571,67
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3230,3
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;ASSINATURA DE PUBLICAÇÕES;R$  2337
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  536,09
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  396,89
AUGUSTO COUTINHO;SOLIDARIEDADE;PE;Total;R$  338596,84
JÉSSICA SALES;MDB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  173400
JÉSSICA SALES;MDB;AC;EMISSÃO BILHETE AÉREO;R$  63177,16
JÉSSICA SALES;MDB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  42800
JÉSSICA SALES;MDB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;R$  35569,02
JÉSSICA SALES;MDB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  18500
JÉSSICA SALES;MDB;AC;TELEFONIA;R$  3324,41
JÉSSICA SALES;MDB;AC;PASSAGENS AÉREAS;R$  905,79
JÉSSICA SALES;MDB;AC;SERVIÇOS POSTAIS;R$  399,5
JÉSSICA SALES;MDB;AC;Total;R$  338075,88
JOÃO DANIEL;PT;SE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  93350
JOÃO DANIEL;PT;SE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  75000
JOÃO DANIEL;PT;SE;PASSAGENS AÉREAS;R$  40519,38
JOÃO DANIEL;PT;SE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  35808,64
JOÃO DANIEL;PT;SE;EMISSÃO BILHETE AÉREO;R$  35149,44
JOÃO DANIEL;PT;SE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  34565,26
JOÃO DANIEL;PT;SE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  13900
JOÃO DANIEL;PT;SE;TELEFONIA;R$  6682,09
JOÃO DANIEL;PT;SE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  862
JOÃO DANIEL;PT;SE;ASSINATURA DE PUBLICAÇÕES;R$  500
JOÃO DANIEL;PT;SE;SERVIÇOS POSTAIS;R$  397,14
JOÃO DANIEL;PT;SE;Total;R$  336733,95
HILDO ROCHA;MDB;MA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  218923,67
HILDO ROCHA;MDB;MA;EMISSÃO BILHETE AÉREO;R$  52506,71
HILDO ROCHA;MDB;MA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  36638,82
HILDO ROCHA;MDB;MA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  11428,55
HILDO ROCHA;MDB;MA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  6626,64
HILDO ROCHA;MDB;MA;TELEFONIA;R$  4821,17
HILDO ROCHA;MDB;MA;ASSINATURA DE PUBLICAÇÕES;R$  2500,57
HILDO ROCHA;MDB;MA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  2387,4
HILDO ROCHA;MDB;MA;SERVIÇOS POSTAIS;R$  457,18
HILDO ROCHA;MDB;MA;Total;R$  336290,71
HÉLIO LEITE;DEM;PA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  114699,43
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  70000
HÉLIO LEITE;DEM;PA;EMISSÃO BILHETE AÉREO;R$  46456,46
HÉLIO LEITE;DEM;PA;COMBUSTÍVEIS E LUBRIFICANTES.;R$  46199,35
HÉLIO LEITE;DEM;PA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  18000
HÉLIO LEITE;DEM;PA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  16643,43
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  10800
HÉLIO LEITE;DEM;PA;TELEFONIA;R$  6178,31
HÉLIO LEITE;DEM;PA;PASSAGENS AÉREAS;R$  4003,71
HÉLIO LEITE;DEM;PA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1993,4
HÉLIO LEITE;DEM;PA;SERVIÇOS POSTAIS;R$  927,97
HÉLIO LEITE;DEM;PA;Total;R$  335902,06
VINICIUS GURGEL;PL;AP;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  105000
VINICIUS GURGEL;PL;AP;EMISSÃO BILHETE AÉREO;R$  77742,8
VINICIUS GURGEL;PL;AP;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  75200
VINICIUS GURGEL;PL;AP;COMBUSTÍVEIS E LUBRIFICANTES.;R$  40600
VINICIUS GURGEL;PL;AP;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  24000
VINICIUS GURGEL;PL;AP;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  9720
VINICIUS GURGEL;PL;AP;SERVIÇOS POSTAIS;R$  1947,33
VINICIUS GURGEL;PL;AP;TELEFONIA;R$  989,6
VINICIUS GURGEL;PL;AP;Total;R$  335199,73
CORONEL CHRISÓSTOMO;PSL;RO;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  131713,65
CORONEL CHRISÓSTOMO;PSL;RO;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  58534
CORONEL CHRISÓSTOMO;PSL;RO;EMISSÃO BILHETE AÉREO;R$  57492,41
CORONEL CHRISÓSTOMO;PSL;RO;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  41000
CORONEL CHRISÓSTOMO;PSL;RO;COMBUSTÍVEIS E LUBRIFICANTES.;R$  18372,37
CORONEL CHRISÓSTOMO;PSL;RO;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  13017,1
CORONEL CHRISÓSTOMO;PSL;RO;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  4962,19
CORONEL CHRISÓSTOMO;PSL;RO;LOCAÇÃO OU FRETAMENTO DE AERONAVES;R$  3800
CORONEL CHRISÓSTOMO;PSL;RO;TELEFONIA;R$  2071,62
CORONEL CHRISÓSTOMO;PSL;RO;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1893,6
CORONEL CHRISÓSTOMO;PSL;RO;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  683
CORONEL CHRISÓSTOMO;PSL;RO;SERVIÇOS POSTAIS;R$  425,96
CORONEL CHRISÓSTOMO;PSL;RO;Total;R$  333965,9
ROBÉRIO MONTEIRO;PDT;CE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  98968,8
ROBÉRIO MONTEIRO;PDT;CE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  79700
ROBÉRIO MONTEIRO;PDT;CE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  72100
ROBÉRIO MONTEIRO;PDT;CE;EMISSÃO BILHETE AÉREO;R$  49556,08
ROBÉRIO MONTEIRO;PDT;CE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  23834,02
ROBÉRIO MONTEIRO;PDT;CE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2431,91
ROBÉRIO MONTEIRO;PDT;CE;SERVIÇOS POSTAIS;R$  1989,33
ROBÉRIO MONTEIRO;PDT;CE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  1875,15
ROBÉRIO MONTEIRO;PDT;CE;TELEFONIA;R$  1717,78
ROBÉRIO MONTEIRO;PDT;CE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  640,3
ROBÉRIO MONTEIRO;PDT;CE;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  188,93
ROBÉRIO MONTEIRO;PDT;CE;Total;R$  333002,3
MARIA DO ROSÁRIO;PT;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  78823,4
MARIA DO ROSÁRIO;PT;RS;EMISSÃO BILHETE AÉREO;R$  60115,44
MARIA DO ROSÁRIO;PT;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  48792,08
MARIA DO ROSÁRIO;PT;RS;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;R$  43285,76
MARIA DO ROSÁRIO;PT;RS;COMBUSTÍVEIS E LUBRIFICANTES.;R$  41101,9
MARIA DO ROSÁRIO;PT;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  24780
MARIA DO ROSÁRIO;PT;RS;TELEFONIA;R$  11671,46
MARIA DO ROSÁRIO;PT;RS;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  10480
MARIA DO ROSÁRIO;PT;RS;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  5007,16
MARIA DO ROSÁRIO;PT;RS;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  3555,1
MARIA DO ROSÁRIO;PT;RS;SERVIÇOS POSTAIS;R$  2839,69
MARIA DO ROSÁRIO;PT;RS;PASSAGENS AÉREAS;R$  1679,38
MARIA DO ROSÁRIO;PT;RS;PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS;R$  847,25
MARIA DO ROSÁRIO;PT;RS;Total;R$  332978,62
CARLOS VERAS;PT;PE;EMISSÃO BILHETE AÉREO;R$  71029,13
CARLOS VERAS;PT;PE;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  70940
CARLOS VERAS;PT;PE;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  63750
CARLOS VERAS;PT;PE;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  31318,06
CARLOS VERAS;PT;PE;COMBUSTÍVEIS E LUBRIFICANTES.;R$  30867,14
CARLOS VERAS;PT;PE;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;R$  24450
CARLOS VERAS;PT;PE;PASSAGENS AÉREAS;R$  15500,1
CARLOS VERAS;PT;PE;TELEFONIA;R$  8654,26
CARLOS VERAS;PT;PE;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;R$  4664,92
CARLOS VERAS;PT;PE;ASSINATURA DE PUBLICAÇÕES;R$  2942
CARLOS VERAS;PT;PE;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;R$  2819,6
CARLOS VERAS;PT;PE;PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR;R$  2300
CARLOS VERAS;PT;PE;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;R$  1992,64
CARLOS VERAS;PT;PE;SERVIÇOS POSTAIS;R$  504,57
CARLOS VERAS;PT;PE;Total;R$  331732,42
AFONSO MOTTA;PDT;RS;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;R$  82810
AFONSO MOTTA;PDT;RS;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;R$  76300
AFONSO MOTTA;PDT;RS;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;R$  48739,82
